Name,Tags,Server end time,Duration,g_mean,population,generations,crossover,factor
d70aee66f403443da0b6787ebc3a78f9,MultinomialNB,1601923026549,8,0.789642,46,82,0.8373,0.3984
e7330c1841594a70911ff14380181d00,MultinomialNB,1601923146348,4,0.789642,46,82,0.8373,0.3984
c73d9fdcf8694d1c9a1c7f1980719817,MultinomialNB,1601923146149,4,0.789642,46,82,0.8373,0.3984
db6b8c0e42a943e3a8a4b1977afd2d8a,MultinomialNB,1601923139277,7,0.789642,46,82,0.8373,0.3984
4e612f977f564864abfb2fac81b35053,MultinomialNB,1601923139189,7,0.789642,46,82,0.8373,0.3984
676836d23ee14988be92738948e82182,MultinomialNB,1601923128931,4,0.789642,46,82,0.8373,0.3984
840e12c27e43410bb698440f70a0d2ef,MultinomialNB,1601923128729,4,0.789642,46,82,0.8373,0.3984
bb638f45783542aa9d04d90a26feac46,MultinomialNB,1601923121790,4,0.789642,46,82,0.8373,0.3984
cb54f02cce1041a69f165db4cd2c037f,MultinomialNB,1601923121527,4,0.789642,46,82,0.8373,0.3984
959b3211435e4d478e30fbc91da6aa5e,MultinomialNB,1601923113922,8,0.789642,46,82,0.8373,0.3984
603304bb5148477cbff1cf314634d3eb,MultinomialNB,1601923113601,7,0.789642,46,82,0.8373,0.3984
44862ba89e4143668d63d11a48671a53,MultinomialNB,1601923103399,8,0.789642,46,82,0.8373,0.3984
65ebf45629234c7db2c0ec5dc6d8c548,MultinomialNB,1601923102961,9,0.789642,46,82,0.8373,0.3984
cd62b882f3804253a6fd87fb1cf60aef,MultinomialNB,1601923091764,4,0.789642,46,82,0.8373,0.3984
cb502b2efa6f4a22ae2b33daa8b194bf,MultinomialNB,1601923091198,4,0.789642,46,82,0.8373,0.3984
01e716510cc34253847c0dab3c545bcf,MultinomialNB,1601923084895,7,0.789642,46,82,0.8373,0.3984
bd0ce188835c409abb2be05c1e94e4bc,MultinomialNB,1601923083699,6,0.789642,46,82,0.8373,0.3984
d699cab4c7044f219e882e32f998982c,MultinomialNB,1601923075232,6,0.789642,46,82,0.8373,0.3984
ce6025a2995849c7a56fc381fe25b154,MultinomialNB,1601923074751,6,0.789642,46,82,0.8373,0.3984
75e2c2b7d38c4e8aa697ca69126ec588,MultinomialNB,1601923066001,7,0.789642,46,82,0.8373,0.3984
1bedc696a8584b07bfc684094b395cdd,MultinomialNB,1601923065433,7,0.789642,46,82,0.8373,0.3984
18acb73aa9dc4423bf3d850977bd58c0,MultinomialNB,1601923055202,6,0.789642,46,82,0.8373,0.3984
59f6063ddac84a819410bca85776724e,MultinomialNB,1601923054952,6,0.789642,46,82,0.8373,0.3984
8216aca26c96485297b6f55866261d87,MultinomialNB,1601923045930,5,0.789642,46,82,0.8373,0.3984
d17d86ae95f64a1f8f49e82b0e361de5,MultinomialNB,1601923045763,5,0.789642,46,82,0.8373,0.3984
9cfc3bd25d334adeb18f8392bbbf2f6f,MultinomialNB,1601923036308,6,0.789642,46,82,0.8373,0.3984
ce755fa8af30436dafe6e89e6e663048,MultinomialNB,1601923035929,6,0.789642,46,82,0.8373,0.3984
0faf5c3ee3c64da2a894e8db6d153226,MultinomialNB,1601923026936,8,0.789642,46,82,0.8373,0.3984
cc3adf94eecf481a9fc103f8e758e16b,MultinomialNB,1601923158860,8,0.789642,46,82,0.8373,0.3984
d1d8463d5c574bc194a0371a4d7403b4,MultinomialNB,1601923159049,9,0.789642,46,82,0.8373,0.3984
6d9f471f6db94f5892bc9f8f7c3bcb13,DecisionTreeClassifier,1601923757336,73,0.68621,32,89,0.4073,1.1551
33e21b7b99ef4efa8d3291e738091e51,DecisionTreeClassifier,1601923408317,71,0.692603,32,89,0.4073,1.1551
701c13f3d9f247efb4f84ae03e11601d,DecisionTreeClassifier,1601923848122,86,0.6927840000000001,32,89,0.4073,1.1551
92ed781a818d4749a32f11832d70c18c,DecisionTreeClassifier,1601924227499,51,0.700995,32,89,0.4073,1.1551
0b3e3a36a0c049029dfe38ea8fde6478,DecisionTreeClassifier,1601924118563,51,0.701645,32,89,0.4073,1.1551
632c63f6b286499b93096813041b7e0f,DecisionTreeClassifier,1601923997089,71,0.705587,32,89,0.4073,1.1551
a32fe1f9703d41cc9fd31faba0e7d41b,DecisionTreeClassifier,1601923923129,69,0.70733,32,89,0.4073,1.1551
1981742d992d43fe91dd91e203539563,DecisionTreeClassifier,1601924063895,64,0.707601,32,89,0.4073,1.1551
dd121103fd2b43d085533739cbb26522,DecisionTreeClassifier,1601924172162,49,0.7077859999999999,32,89,0.4073,1.1551
4023e49aa14b495eb8a021ff32bf86b2,DecisionTreeClassifier,1601924119912,53,0.70898,32,89,0.4073,1.1551
fdda11d3caed45ea81eaa959877306c4,DecisionTreeClassifier,1601924062096,59,0.712561,32,89,0.4073,1.1551
8eaef4590aa24b3687e121fb5dde6636,DecisionTreeClassifier,1601923540844,62,0.714356,32,89,0.4073,1.1551
983691db4dfb44b68043333ea41d0bf0,DecisionTreeClassifier,1601923755804,71,0.714953,32,89,0.4073,1.1551
b7bba8792bc44907938a5c271e53b15c,DecisionTreeClassifier,1601924229776,53,0.715501,32,89,0.4073,1.1551
bc89e87372584f80a2656d34de7d0cb7,DecisionTreeClassifier,1601923849833,87,0.719892,32,89,0.4073,1.1551
a58efa8022534ab88c308fb8d0a4ec3b,DecisionTreeClassifier,1601924171086,49,0.7221920000000001,32,89,0.4073,1.1551
24358010f6fc4e47ad6ebc634adb5d38,DecisionTreeClassifier,1601923677565,65,0.722208,32,89,0.4073,1.1551
8000961bcd0b4e59b6da699183b2fa1f,DecisionTreeClassifier,1601924292293,61,0.722478,32,89,0.4073,1.1551
9fc21ff20c0240c6be12accd0a62877c,DecisionTreeClassifier,1601924362258,66,0.7254659999999999,32,89,0.4073,1.1551
a546c9661cb74e4e9298fd56ff29ccd3,DecisionTreeClassifier,1601923994034,68,0.726403,32,89,0.4073,1.1551
c9f978b12de143e1a427a973f5b6df5f,DecisionTreeClassifier,1601923921974,68,0.729388,32,89,0.4073,1.1551
b15d88b93c574fed9f13bfd248db3e8e,DecisionTreeClassifier,1601923607737,63,0.730299,32,89,0.4073,1.1551
8bf907c9884e4f35881fe776630ebf68,DecisionTreeClassifier,1601923679974,68,0.731023,32,89,0.4073,1.1551
76529fa93d8c4acea8b4cc878c000c31,DecisionTreeClassifier,1601923608998,65,0.731421,32,89,0.4073,1.1551
4fc4e43f47aa439496e8c8a89cd70967,DecisionTreeClassifier,1601923474268,60,0.731583,32,89,0.4073,1.1551
deff17c0c80a4fbf933b6cd1d41e73d4,DecisionTreeClassifier,1601923410661,75,0.740575,32,89,0.4073,1.1551
e04556dbf0a64c58abca07a37efadfc1,DecisionTreeClassifier,1601924291347,58,0.741506,32,89,0.4073,1.1551
bf1374bdb78644f49846cc9184da6de3,DecisionTreeClassifier,1601923475112,60,0.745712,32,89,0.4073,1.1551
acf1c5fff3f24cada4f6a02c2aa0c0b6,DecisionTreeClassifier,1601924360947,65,0.746055,32,89,0.4073,1.1551
543e4f773df14ddbb0da03a0a58e33c4,DecisionTreeClassifier,1601923539621,60,0.806326,32,89,0.4073,1.1551
b3c95de7fd6440b18e62460f0f09b53d,SVC,1601941801614,812,0.813625,40,11,0.1564,1.7257
3a2157baf9d74dbcb04976377d8036df,SVC,1601961092329,4339,0.813625,40,11,0.1564,1.7257
a45d976ae64a4ce385dc1c517fe38d0b,SVC,1601961082180,4329,0.813625,40,11,0.1564,1.7257
20cb330a02704ff4a187fe8ab4619df8,SVC,1601961053333,4300,0.813625,40,11,0.1564,1.7257
dcad0fee64934204b70306bbed80abc3,SVC,1601961038694,4285,0.813625,40,11,0.1564,1.7257
e56741cc1fd54aa4bec2798a928b8841,SVC,1601961009209,4256,0.813625,40,11,0.1564,1.7257
dfa4e298b9d942899754daeffcf42108,SVC,1601960963949,4211,0.813625,40,11,0.1564,1.7257
57c8ecd8d1c34a7db50417430ce210c4,SVC,1601956621299,3247,0.813625,40,11,0.1564,1.7257
54f9d73bcf914a5f961b1554dba8b692,SVC,1601956616343,3242,0.813625,40,11,0.1564,1.7257
f8b51f4fdda448eea8cdeb032c46a6e1,SVC,1601956610032,3235,0.813625,40,11,0.1564,1.7257
c0721e55e5884695838c1bc5673fe029,SVC,1601956609387,3235,0.813625,40,11,0.1564,1.7257
6c323142ace54eb792b5d5d7869d7e58,SVC,1601956583094,3208,0.813625,40,11,0.1564,1.7257
ff91ea64585e48918dddbae698f4cede,SVC,1601956523205,3148,0.813625,40,11,0.1564,1.7257
0eb28c20ed7f471da8b6c994c1caeda8,SVC,1601953310703,3275,0.813625,40,11,0.1564,1.7257
ea7cc5fa757841d7852a0d36ea0f3378,SVC,1601953295392,3260,0.813625,40,11,0.1564,1.7257
2498334d92744fc7a56a662d8ff19ed3,SVC,1601953250811,3216,0.813625,40,11,0.1564,1.7257
b597a34e34044574bef6899b808db201,SVC,1601953247282,3212,0.813625,40,11,0.1564,1.7257
37f7118fca1846a086bf95a164ede9b5,SVC,1601953218599,3183,0.813625,40,11,0.1564,1.7257
a5099a7a3fae4c739a19617f024775d2,SVC,1601953148475,3113,0.813625,40,11,0.1564,1.7257
88b4eeda5eb64dd38d4be6e4aa7df892,SVC,1601947851709,2740,0.813625,40,11,0.1564,1.7257
9231198f83a54acbb1792c7c1016dee2,SVC,1601947841152,2729,0.813625,40,11,0.1564,1.7257
99dd61b991ba4a8792e12eb12635c619,SVC,1601947838758,2727,0.813625,40,11,0.1564,1.7257
b3f36b876d1f4c00b723bb7dc27912b0,SVC,1601947797586,2686,0.813625,40,11,0.1564,1.7257
7dfd0ea9dd8d4d9288f4d0e33122c383,SVC,1601947789713,2678,0.813625,40,11,0.1564,1.7257
83a3ce56e9094efb9c4fc3d632526748,SVC,1601944970332,2132,0.813625,40,11,0.1564,1.7257
86eacb4f4e3c4b06a45ceccee1d657e2,SVC,1601944924107,2086,0.813625,40,11,0.1564,1.7257
dc0f525425c64fd6bca5e50f5df02e7d,SVC,1601944904487,2066,0.813625,40,11,0.1564,1.7257
103f34e7328542ef974f249f1e8caf3e,SVC,1601944870468,2032,0.813625,40,11,0.1564,1.7257
79a1683fad234b669c3141425ba942f3,SVC,1601961095790,4342,0.813625,40,11,0.1564,1.7257
e42b1dd3fe5a4e0b8150d84cfd7e4a67,SVC,1601961100102,4347,0.813625,40,11,0.1564,1.7257
139f71073b5849238d1d372dada2efce,RandomForestClassifier,1602008295883,4836,0.786856,20,83,0.2153,1.0173
3d73bb341204400a9a983c4451f520ed,RandomForestClassifier,1602008100049,4642,0.8023779999999999,20,83,0.2153,1.0173
ba906eb5617c44f79b8f21a5dce6200c,RandomForestClassifier,1602013137176,4793,0.80381,20,83,0.2153,1.0173
3b14da5b843a4d28bc835b58bcd9cb96,RandomForestClassifier,1602019218635,4962,0.804882,20,83,0.2153,1.0173
2a600bc22e1840329386f8d9ee8dff8d,RandomForestClassifier,1602013043676,4710,0.8052189999999999,20,83,0.2153,1.0173
d9f209dbc0b44acdac5b8d709d4563e2,RandomForestClassifier,1602013133650,4800,0.806136,20,83,0.2153,1.0173
753c8356202f445186fac268883552be,RandomForestClassifier,1602013092463,4759,0.806946,20,83,0.2153,1.0173
09ff14e930684b9fbf8acbc5e43bfa12,RandomForestClassifier,1602013131892,4788,0.808496,20,83,0.2153,1.0173
cc9f045e52534941a6d685fc47825055,RandomForestClassifier,1602013115585,4782,0.809373,20,83,0.2153,1.0173
53464a736a624bb29ec9e1e0113d003b,RandomForestClassifier,1602019193043,4933,0.8102779999999999,20,83,0.2153,1.0173
4503ebee9b89444aa9af8e809366c503,RandomForestClassifier,1602019081052,4821,0.811018,20,83,0.2153,1.0173
f00a3bdd5015443c9146213c2fdb6b6a,RandomForestClassifier,1602008289243,4829,0.811183,20,83,0.2153,1.0173
7cd31c89651f46fdb76034699fdc5b54,RandomForestClassifier,1602019206553,4950,0.811697,20,83,0.2153,1.0173
fdc8d6418c9442269dfa903d7fb56535,RandomForestClassifier,1602008200941,4741,0.811789,20,83,0.2153,1.0173
abc95ffa5b9c48f2bea39d36911eafdf,RandomForestClassifier,1602019247429,4991,0.812561,20,83,0.2153,1.0173
58b5084fe9e34aeda229b0b5250be7fe,RandomForestClassifier,1602019074939,4815,0.8143060000000001,20,83,0.2153,1.0173
bfcd93784ef54ccca52c11ef4e504b76,RandomForestClassifier,1602008201251,4743,0.815932,20,83,0.2153,1.0173
d04704d2e3b1437a82997363f8042e50,RandomForestClassifier,1602008197290,4739,0.816004,20,83,0.2153,1.0173
5c4c0f5c26174cf4a69836942d591736,RandomForestClassifier,1602019123195,4863,0.816837,20,83,0.2153,1.0173
b143649c82284492bdffaab5a86a0d8b,RandomForestClassifier,1602013031061,4687,0.816837,20,83,0.2153,1.0173
c5384af302ef489ab9089855fd474109,RandomForestClassifier,1602013025982,4682,0.8170189999999999,20,83,0.2153,1.0173
bfeeff01723740aea45d281cc0c88387,RandomForestClassifier,1602008317128,4857,0.817459,20,83,0.2153,1.0173
0967e617451b4178925ee4610bce9975,RandomForestClassifier,1602008157973,4700,0.8175,20,83,0.2153,1.0173
51004bfb8bcc40a9baa160de1822da2e,RandomForestClassifier,1602008124282,4666,0.8179489999999999,20,83,0.2153,1.0173
c7dc441eed594217b63cbc97b83b5e00,RandomForestClassifier,1602019186417,4930,0.819155,20,83,0.2153,1.0173
a88a15b1cdd947d39cb5ad9d507d59b7,RandomForestClassifier,1602019169277,4909,0.8205790000000001,20,83,0.2153,1.0173
6b99f84aac294b09bdcd10b243e2aedb,RandomForestClassifier,1602013054745,4711,0.823666,20,83,0.2153,1.0173
bd7675adaabd4d9c8fe58e01f0877baf,RandomForestClassifier,1602013008596,4674,0.8238540000000001,20,83,0.2153,1.0173
b10807c57f934fc89e201f4a5e9316a1,RandomForestClassifier,1602019222109,4966,0.824692,20,83,0.2153,1.0173
8cfeced86f4f4c2fa67b72864101bfa2,RandomForestClassifier,1602008329906,4870,0.8251290000000001,20,83,0.2153,1.0173
